baseline,ci95_high,ci95_low,effect_size_dz,holdout,mean,method,metric,n,paired_seeds,standard_deviation,superiority_gate_passed
fedavg,0.0014629205706375627,-0.0028072971910073543,-0.782134867771759,en-de,-0.0006721883101848958,fedprox,micro_f1,3,"[41, 42, 43]",0.0008594276228854336,False
fedavg,0.004057542762668823,-0.011121046457442735,-1.1561108782301084,en-de,-0.0035317518473869567,fedprox,macro_f1,3,"[41, 42, 43]",0.0030548556491343808,False
fedavg,-0.0015469106782100405,-0.022879087936706635,-2.8446436057674984,en-fr,-0.012212999307458339,fedprox,micro_f1,3,"[41, 42, 43]",0.004293331960002495,False
fedavg,0.025341285503303307,-0.03133819966840729,-0.26285282844871305,en-fr,-0.002998457082551994,fedprox,macro_f1,3,"[41, 42, 43]",0.011407360918457999,False
fedavg,0.04382717246351057,-0.027903664114250347,0.5514975440127745,en-es,0.007961754174630112,fedprox,micro_f1,3,"[41, 42, 43]",0.014436608577980705,False
fedavg,0.04010463012364015,-0.034708848572311705,0.17917822437061365,en-es,0.0026978907756642218,fedprox,macro_f1,3,"[41, 42, 43]",0.01505702372674418,False
fedavg,0.0017439813145262663,-0.0041725533226896795,-1.0197513580995496,en-pl,-0.0012142860040817067,fedprox,micro_f1,3,"[41, 42, 43]",0.001190766743713585,False
fedavg,0.0035310748853617166,-0.004562465921848412,-0.3165887737766233,en-pl,-0.0005156955182433476,fedprox,macro_f1,3,"[41, 42, 43]",0.0016289128388589317,False
fedavg,0.007664056491715233,-0.010732916215262647,-0.4144206543449673,mean_across_holdouts,-0.0015344298617737072,fedprox,micro_f1,3,"[41, 42, 43]",0.0037025902200724646,False
fedavg,0.013469304151066128,-0.015643310987325167,-0.1855198587553647,mean_across_holdouts,-0.001087003418129519,fedprox,macro_f1,3,"[41, 42, 43]",0.005859229440029347,False
fedavg,0.0,0.0,,en-de,0.0,lambda0,micro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,en-de,0.0,lambda0,macro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,en-fr,0.0,lambda0,micro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,en-fr,0.0,lambda0,macro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,en-es,0.0,lambda0,micro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,en-es,0.0,lambda0,macro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,en-pl,0.0,lambda0,micro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,en-pl,0.0,lambda0,macro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,mean_across_holdouts,0.0,lambda0,micro_f1,3,"[41, 42, 43]",0.0,False
fedavg,0.0,0.0,,mean_across_holdouts,0.0,lambda0,macro_f1,3,"[41, 42, 43]",0.0,False
