ci95_high,ci95_low,holdout,mean,method,metric,n,standard_deviation
0.39827829600985326,0.1905295235471312,en-de,0.29440390977849223,fedavg,micro_f1,3,0.041811692902103265
0.23904323702569863,0.09258492678944669,en-de,0.16581408190757266,fedavg,macro_f1,3,0.029476322858456118
0.9616337700630033,0.3827064864690302,en-de,0.6721701282660167,fedavg,loss,3,0.11651539264148239
0.5388611826856802,0.2789416981600348,en-fr,0.4089014404228575,fedavg,micro_f1,3,0.05231161434760985
0.2211991515292242,0.15312270381343507,en-fr,0.18716092767132964,fedavg,macro_f1,3,0.013701123198065648
0.5409492686114047,0.45015129570947754,en-fr,0.4955502821604411,fedavg,loss,3,0.0182740764920288
0.42098080244049196,0.17824218570551162,en-es,0.2996114940730018,fedavg,micro_f1,3,0.04885377842714094
0.17116974815730002,0.07049355810732154,en-es,0.12083165313231077,fedavg,macro_f1,3,0.02026217479421601
0.908044569476311,0.28996996086451954,en-es,0.5990072651704152,fedavg,loss,3,0.12439421624260644
0.43988970499705726,0.24227149038918752,en-pl,0.3410805976931224,fedavg,micro_f1,3,0.0397728082967558
0.2304218524240824,0.14902504809028458,en-pl,0.18972345025718348,fedavg,macro_f1,3,0.016381989388784615
0.8352107817353112,0.6243911355315346,en-pl,0.7298009586334229,fedavg,loss,3,0.04242973953737347
0.34429682328714895,0.327701897696588,mean_across_holdouts,0.33599936049186846,fedavg,micro_f1,3,0.003339908699822972
0.1669120721222611,0.16485298436193718,mean_across_holdouts,0.16588252824209915,fedavg,macro_f1,3,0.0004144137367097707
0.64315743042129,0.6051068866938579,mean_across_holdouts,0.624132158557574,fedavg,loss,3,0.007658084474963262
0.3977336707202833,0.18972977221633136,en-de,0.29373172146830734,fedprox,micro_f1,3,0.04186303978401635
0.23946783629383983,0.08509682382653157,en-de,0.1622823300601857,fedprox,macro_f1,3,0.031068839973184575
0.976019610062234,0.3843825477212743,en-de,0.6802010788917542,fedprox,loss,3,0.11907337341567947
0.5292870132506517,0.26408986898014664,en-fr,0.3966884411153992,fedprox,micro_f1,3,0.053373800592457415
0.2276579999094253,0.14066694126813,en-fr,0.18416247058877766,fedprox,macro_f1,3,0.017507893721929707
0.5441301342130074,0.4524684640287986,en-fr,0.498299299120903,fedprox,loss,3,0.018447904934426097
0.406363652810815,0.20878284368444888,en-es,0.30757324824763194,fedprox,micro_f1,3,0.039765280038047246
0.14069440400653294,0.10636468380941703,en-es,0.12352954390797499,fedprox,macro_f1,3,0.006909228397749035
0.916365917002318,0.29165236382170767,en-es,0.6040091404120128,fedprox,loss,3,0.12573037581753416
0.43585823914222294,0.24387438423585833,en-pl,0.33986631168904063,fedprox,micro_f1,3,0.03863883231823785
0.23112821887700108,0.1472872906008792,en-pl,0.18920775473894014,fedprox,macro_f1,3,0.016873895831743105
0.8414771073565002,0.6405352606867636,en-pl,0.7410061840216319,fedprox,loss,3,0.04044172528453389
0.3494602756020318,0.3194695856581578,mean_across_holdouts,0.3344649306300948,fedprox,micro_f1,3,0.006035951514854148
0.17945731199858442,0.1501337376493548,mean_across_holdouts,0.1647955248239696,fedprox,macro_f1,3,0.0059016872684626055
0.64810534072022,0.6136525105029309,mean_across_holdouts,0.6308789256115754,fedprox,loss,3,0.006934005624086538
0.39827829600985326,0.1905295235471312,en-de,0.29440390977849223,lambda0,micro_f1,3,0.041811692902103265
0.23904323702569863,0.09258492678944669,en-de,0.16581408190757266,lambda0,macro_f1,3,0.029476322858456118
0.9616338794443784,0.3827065195030195,en-de,0.6721701994736989,lambda0,loss,3,0.11651540800722157
0.5388611826856802,0.2789416981600348,en-fr,0.4089014404228575,lambda0,micro_f1,3,0.05231161434760985
0.2211991515292242,0.15312270381343507,en-fr,0.18716092767132964,lambda0,macro_f1,3,0.013701123198065648
0.5409492414978202,0.4501513385586883,en-fr,0.49555029002825424,lambda0,loss,3,0.018274062411257737
0.42098080244049196,0.17824218570551162,en-es,0.2996114940730018,lambda0,micro_f1,3,0.04885377842714094
0.17116974815730002,0.07049355810732154,en-es,0.12083165313231077,lambda0,macro_f1,3,0.02026217479421601
0.9080445975991849,0.2899699514972405,en-es,0.5990072745482127,lambda0,loss,3,0.12439422378790621
0.43988970499705726,0.24227149038918752,en-pl,0.3410805976931224,lambda0,micro_f1,3,0.0397728082967558
0.2304218524240824,0.14902504809028458,en-pl,0.18972345025718348,lambda0,macro_f1,3,0.016381989388784615
0.8352109619113659,0.6243911055591846,en-pl,0.7298010337352753,lambda0,loss,3,0.042429781832018384
0.34429682328714895,0.327701897696588,mean_across_holdouts,0.33599936049186846,lambda0,micro_f1,3,0.003339908699822972
0.1669120721222611,0.16485298436193718,mean_across_holdouts,0.16588252824209915,lambda0,macro_f1,3,0.0004144137367097707
0.6431575046237521,0.6051068942689686,mean_across_holdouts,0.6241321994463603,lambda0,loss,3,0.007658097884440112
