round,method,citation_conflict,reasoning_conflict,verdict_conflict,rule_alignment_distance,total_conflict
1,FedAvg,0.7332166753572038,0.5339595679348759,0.46460034885869356,0.6144013189843219,0.5825223902313015
2,FedAvg,0.7265229947478286,0.5192013313917863,0.4622339437139739,0.6094930097536253,0.5748482359837116
3,FedAvg,0.722187237119752,0.5068733598049497,0.4537859016514689,0.5992130850831546,0.565897909650921
4,FedAvg,0.7167410179858336,0.5078463273436953,0.4647861896695718,0.6018001725899274,0.5680957346349453
5,FedAvg,0.7065777811637022,0.49057742543031235,0.4558139751445107,0.5994064979055854,0.5576524662872641
6,FedAvg,0.7036982410367023,0.4885268287786214,0.45896856631680294,0.5961535469838456,0.5564554598687319
7,FedAvg,0.7077400887137023,0.49429569792970773,0.4507829489620507,0.5858435526607195,0.5550881793299944
8,FedAvg,0.6821193048947602,0.4828604164363087,0.45104992016782464,0.591013733051434,0.5463531778068257
9,FedAvg,0.6881882637053226,0.48294573726096723,0.43919116512172623,0.5776277090295109,0.5422541201909545
10,FedAvg,0.6755574823464103,0.4784601980143128,0.4408796544428512,0.5788702940455782,0.5384214024107249
11,FedAvg,0.6765393863806768,0.4859378100768284,0.4477097608964957,0.582903949498413,0.5434244197420243
12,FedAvg,0.6749298054158868,0.4774352460451479,0.42498081433553614,0.5688425018456825,0.5319767291205366
13,FedAvg,0.6640735060880019,0.4647324001619814,0.4339237181774174,0.5660121462691825,0.5271214553687857
14,FedAvg,0.66364002746635,0.4676626228131125,0.43350336286975777,0.5704197792868737,0.5286685902853354
15,FedAvg,0.6440999089752307,0.4511933162669304,0.4241176843300002,0.5592250596188345,0.5142574051301537
16,FedAvg,0.6549710838350439,0.4493667086766879,0.42286340644108233,0.5559974752294872,0.5154681302179354
17,FedAvg,0.6394534108338692,0.45241941289498616,0.4224874666268949,0.5550149623191827,0.5122140356975234
18,FedAvg,0.6416019794937428,0.4351309223776399,0.40981618189546115,0.5556537245232599,0.504524561965245
19,FedAvg,0.6338093516207435,0.43658203255615285,0.412359256559935,0.5353507764306019,0.49958691709813585
20,FedAvg,0.612099693833606,0.4260574623194208,0.40296265565818956,0.5388589144997594,0.489354608968727
21,FedAvg,0.6180258477726946,0.4304649665779936,0.4011026373373917,0.5344094268319527,0.49080349661731015
