dataset,method,legal_accuracy,stderr
CAIL,Centralized,0.6600073809201449,0.013177710407756605
CAIL,Local-only,0.5833551728678267,0.007801657519924735
CAIL,FedAvg,0.6172719752889697,0.012988427563170096
CAIL,FedProx,0.6353608616155847,0.012569827347062131
CAIL,SCAFFOLD,0.6440467608886921,0.009743479622749766
CAIL,FedNova,0.6449390523011113,0.008227404896806187
CAIL,FedLoRA,0.6666324854939875,0.009560610447061173
CAIL,Conflict-aware,0.6898244890652203,0.01042797881659594
CAIL,Full framework,0.7049347127162895,0.012341295353710025
CaseHOLD,Centralized,0.668592663561195,0.013911681181455079
CaseHOLD,Local-only,0.5939495897732496,0.0072816962708627565
CaseHOLD,FedAvg,0.6323953211113378,0.006351536063691067
CaseHOLD,FedProx,0.6559405065197453,0.010119110562170963
CaseHOLD,SCAFFOLD,0.651899441735077,0.013337342185542818
CaseHOLD,FedNova,0.6617089943275936,0.010112941172796111
CaseHOLD,FedLoRA,0.6768191854069677,0.007980119376218647
CaseHOLD,Conflict-aware,0.7108807215842422,0.007539217151882485
CaseHOLD,Full framework,0.7281469765634464,0.007604853791895962
ECtHR,Centralized,0.6451547919480086,0.006029873936416608
ECtHR,Local-only,0.580306339204299,0.007235688648491519
ECtHR,FedAvg,0.6093297883024951,0.01304265723184663
ECtHR,FedProx,0.6253826906455304,0.012777201970926955
ECtHR,SCAFFOLD,0.6374568413822621,0.011934167578894856
ECtHR,FedNova,0.6227171319312291,0.01032915057101191
ECtHR,FedLoRA,0.6567161241541796,0.012970715013543046
ECtHR,Conflict-aware,0.6920024992780545,0.010785472537657704
ECtHR,Full framework,0.6958042665873686,0.00910105440888583
CUAD,Centralized,0.6934601375020212,0.007201597832563615
CUAD,Local-only,0.6190974616031713,0.0090355693724025
CUAD,FedAvg,0.654003485365006,0.010719933544084882
CUAD,FedProx,0.6609460264939662,0.011103972646306658
CUAD,SCAFFOLD,0.6742201545407696,0.00720630415334695
CUAD,FedNova,0.6648768328328992,0.007916511694636186
CUAD,FedLoRA,0.6948228241631731,0.006773632751453965
CUAD,Conflict-aware,0.7268713320447248,0.007720032298847041
CUAD,Full framework,0.7382321458040777,0.008403360651832562
