num_clients,dirichlet_alpha,method,accuracy,relative_communication
4,0.1,FedAvg,0.6080481966373822,4.0
4,0.1,FedLoRA,0.6331860421046048,1.28
4,0.1,Conflict-aware,0.6605705061807126,1.44
4,0.1,Full framework,0.6598815939660011,1.6
4,0.3,FedAvg,0.6385354945388914,4.0
4,0.3,FedLoRA,0.6691806893711743,1.28
4,0.3,Conflict-aware,0.6800943382422643,1.44
4,0.3,Full framework,0.6949241008180823,1.6
4,1.0,FedAvg,0.6629054831824921,4.0
4,1.0,FedLoRA,0.6923154181622722,1.28
4,1.0,Conflict-aware,0.7002478042035241,1.44
4,1.0,Full framework,0.7203507573342208,1.6
8,0.1,FedAvg,0.6032551339005032,8.0
8,0.1,FedLoRA,0.6312375251073592,2.56
8,0.1,Conflict-aware,0.649636746785718,2.88
8,0.1,Full framework,0.6666386124630035,3.2
8,0.3,FedAvg,0.6273134692723138,8.0
8,0.3,FedLoRA,0.6541960086222741,2.56
8,0.3,Conflict-aware,0.6713186304783713,2.88
8,0.3,Full framework,0.6863428379852957,3.2
8,1.0,FedAvg,0.6534338406373084,8.0
8,1.0,FedLoRA,0.6784319603796826,2.56
8,1.0,Conflict-aware,0.694310065031056,2.88
8,1.0,Full framework,0.720280233517235,3.2
16,0.1,FedAvg,0.5974596636391217,16.0
16,0.1,FedLoRA,0.6174651969483458,5.12
16,0.1,Conflict-aware,0.6474061383704836,5.76
16,0.1,Full framework,0.6550068687183553,6.4
16,0.3,FedAvg,0.6250331253389787,16.0
16,0.3,FedLoRA,0.6479319320935601,5.12
16,0.3,Conflict-aware,0.6690024649081958,5.76
16,0.3,Full framework,0.6836840843447258,6.4
16,1.0,FedAvg,0.6456993288911895,16.0
16,1.0,FedLoRA,0.6731637851486886,5.12
16,1.0,Conflict-aware,0.7011323682148741,5.76
16,1.0,Full framework,0.6990495766206669,6.4
32,0.1,FedAvg,0.5922638284267308,32.0
32,0.1,FedLoRA,0.6187399258904499,10.24
32,0.1,Conflict-aware,0.6327909139327951,11.52
32,0.1,Full framework,0.6465186078193601,12.8
32,0.3,FedAvg,0.6256356636493532,32.0
32,0.3,FedLoRA,0.6405139850632288,10.24
32,0.3,Conflict-aware,0.670315980646411,11.52
32,0.3,Full framework,0.6791430532411848,12.8
32,1.0,FedAvg,0.6423045642414484,32.0
32,1.0,FedLoRA,0.6689038820481938,10.24
32,1.0,Conflict-aware,0.6895400217818243,11.52
32,1.0,Full framework,0.7067186208935083,12.8
