dataset,method,accuracy_mean,accuracy_std
CAIL,FedAvg,61.2,1.38
CaseHOLD,FedAvg,64.0,0.83
ECtHR,FedAvg,68.5,1.15
CUAD,FedAvg,70.1,0.99
CAIL,FedProx,62.5,0.87
CaseHOLD,FedProx,65.1,1.01
ECtHR,FedProx,69.5,1.04
CUAD,FedProx,70.9,1.19
CAIL,FedLoRA,63.6,1.29
CaseHOLD,FedLoRA,66.0,0.71
ECtHR,FedLoRA,70.1,0.9
CUAD,FedLoRA,71.9,1.18
CAIL,Conflict-aware,66.0,0.77
CaseHOLD,Conflict-aware,68.1,1.5
ECtHR,Conflict-aware,72.4,1.37
CUAD,Conflict-aware,73.6,0.73
CAIL,Full,67.4,1.15
CaseHOLD,Full,69.4,1.19
ECtHR,Full,73.5,0.71
CUAD,Full,74.8,0.84
