seed,round,method,component,score
1,1,FedAvg,citation,0.6700938336447806
1,1,FedAvg,reasoning,0.5593830658831207
1,1,FedAvg,verdict,0.47918300165170474
1,1,FedAvg,rule alignment,0.6024165256249551
1,1,FedAvg,total,0.5756174337140485
1,2,FedAvg,citation,0.6482284256618448
1,2,FedAvg,reasoning,0.5605581161689395
1,2,FedAvg,verdict,0.47701257386744106
1,2,FedAvg,rule alignment,0.5979087476853119
1,2,FedAvg,total,0.5690594342700657
1,3,FedAvg,citation,0.6483942694731006
1,3,FedAvg,reasoning,0.5561506775753041
1,3,FedAvg,verdict,0.47525788142924746
1,3,FedAvg,rule alignment,0.5861240865259918
1,3,FedAvg,total,0.5649830583033766
1,4,FedAvg,citation,0.6446070263964568
1,4,FedAvg,reasoning,0.5532745479554525
1,4,FedAvg,verdict,0.4670278352841331
1,4,FedAvg,rule alignment,0.5735601089797624
1,4,FedAvg,total,0.5586031016027357
1,5,FedAvg,citation,0.6382534160086358
1,5,FedAvg,reasoning,0.5325922269022668
1,5,FedAvg,verdict,0.4722779088337669
1,5,FedAvg,rule alignment,0.5649853981816456
1,5,FedAvg,total,0.5504075789176098
1,6,FedAvg,citation,0.6178017954254811
1,6,FedAvg,reasoning,0.5319489364418689
1,6,FedAvg,verdict,0.47174490125039564
1,6,FedAvg,rule alignment,0.5524270143310853
1,6,FedAvg,total,0.542456757967747
1,7,FedAvg,citation,0.6074721552637589
1,7,FedAvg,reasoning,0.5241490561168067
1,7,FedAvg,verdict,0.44932363933144864
1,7,FedAvg,rule alignment,0.5588590092003856
1,7,FedAvg,total,0.533215467323921
1,8,FedAvg,citation,0.6071310639847628
1,8,FedAvg,reasoning,0.512598527520993
1,8,FedAvg,verdict,0.44037680074052593
1,8,FedAvg,rule alignment,0.5416211143476972
1,8,FedAvg,total,0.5239807473071595
1,9,FedAvg,citation,0.5996645010966332
1,9,FedAvg,reasoning,0.5202337076367365
1,9,FedAvg,verdict,0.4479989468881669
1,9,FedAvg,rule alignment,0.5379043904642677
1,9,FedAvg,total,0.5255668523800745
1,10,FedAvg,citation,0.5922135192858503
1,10,FedAvg,reasoning,0.49760150477760046
1,10,FedAvg,verdict,0.42383593105539946
1,10,FedAvg,rule alignment,0.5331718826236644
1,10,FedAvg,total,0.5099271905433255
1,11,FedAvg,citation,0.5851152825606721
1,11,FedAvg,reasoning,0.49947992787861545
1,11,FedAvg,verdict,0.43719052783180357
1,11,FedAvg,rule alignment,0.530686028403895
1,11,FedAvg,total,0.5115576366424825
1,12,FedAvg,citation,0.5802824259540529
1,12,FedAvg,reasoning,0.4928744769702934
1,12,FedAvg,verdict,0.4438201540084517
1,12,FedAvg,rule alignment,0.5101925258889555
1,12,FedAvg,total,0.5059264932595052
1,13,FedAvg,citation,0.5672247786647269
1,13,FedAvg,reasoning,0.48528639050757855
1,13,FedAvg,verdict,0.4291602390642039
1,13,FedAvg,rule alignment,0.5073599814258054
1,13,FedAvg,total,0.4961541678696673
1,14,FedAvg,citation,0.5634261525497104
1,14,FedAvg,reasoning,0.4841747259384689
1,14,FedAvg,verdict,0.41916530325223395
1,14,FedAvg,rule alignment,0.5104273686843227
1,14,FedAvg,total,0.4929857554688913
1,15,FedAvg,citation,0.5603683157845797
1,15,FedAvg,reasoning,0.4674746301980259
1,15,FedAvg,verdict,0.41585696840741915
1,15,FedAvg,rule alignment,0.5009213994737567
1,15,FedAvg,total,0.4844829900021588
1,16,FedAvg,citation,0.5493336477254739
1,16,FedAvg,reasoning,0.46916636714495724
1,16,FedAvg,verdict,0.40027242021021436
1,16,FedAvg,rule alignment,0.4874550191795727
1,16,FedAvg,total,0.47564243096332376
1,17,FedAvg,citation,0.5475662432285352
1,17,FedAvg,reasoning,0.4737589872208007
1,17,FedAvg,verdict,0.414058122063835
1,17,FedAvg,rule alignment,0.4954109815015588
1,17,FedAvg,total,0.48161598378964454
1,18,FedAvg,citation,0.5453488995052438
1,18,FedAvg,reasoning,0.4644422418358671
1,18,FedAvg,verdict,0.4064094298057988
1,18,FedAvg,rule alignment,0.49037850831517493
1,18,FedAvg,total,0.4753479565415557
1,19,FedAvg,citation,0.5315473682012359
1,19,FedAvg,reasoning,0.45182569516168125
1,19,FedAvg,verdict,0.3995361572669096
1,19,FedAvg,rule alignment,0.4798555602499
1,19,FedAvg,total,0.4642897019655208
1,20,FedAvg,citation,0.5220699397526807
1,20,FedAvg,reasoning,0.4395602028715258
1,20,FedAvg,verdict,0.3952769626072914
1,20,FedAvg,rule alignment,0.4776012656272311
1,20,FedAvg,total,0.456725039576897
1,21,FedAvg,citation,0.5218111100595665
1,21,FedAvg,reasoning,0.44929618567637014
1,21,FedAvg,verdict,0.3911140034798366
1,21,FedAvg,rule alignment,0.4828056798110422
1,21,FedAvg,total,0.4595812700499703
1,22,FedAvg,citation,0.5126286977559084
1,22,FedAvg,reasoning,0.4391890047763707
1,22,FedAvg,verdict,0.3980810584785127
1,22,FedAvg,rule alignment,0.4791484796395358
1,22,FedAvg,total,0.4552638364194236
1,23,FedAvg,citation,0.5093227012548733
1,23,FedAvg,reasoning,0.4395901625723277
1,23,FedAvg,verdict,0.37791851875527166
1,23,FedAvg,rule alignment,0.463196242761232
1,23,FedAvg,total,0.44632660232648097
1,24,FedAvg,citation,0.4940038426104985
1,24,FedAvg,reasoning,0.42761083671902067
1,24,FedAvg,verdict,0.3775857345656527
1,24,FedAvg,rule alignment,0.4476832456458345
1,24,FedAvg,total,0.43571729443891094
1,25,FedAvg,citation,0.5035434353139655
1,25,FedAvg,reasoning,0.43343419539296724
1,25,FedAvg,verdict,0.37439964157466227
1,25,FedAvg,rule alignment,0.45212965856471843
1,25,FedAvg,total,0.43994195955299076
1,26,FedAvg,citation,0.4988852647612848
1,26,FedAvg,reasoning,0.42050311709337923
1,26,FedAvg,verdict,0.35986190731097506
1,26,FedAvg,rule alignment,0.44464872569982217
1,26,FedAvg,total,0.42976747328604314
1,27,FedAvg,citation,0.4926579260062355
1,27,FedAvg,reasoning,0.42126755475864186
1,27,FedAvg,verdict,0.3773333040701643
1,27,FedAvg,rule alignment,0.429453370677719
1,27,FedAvg,total,0.4297687480822363
1,28,FedAvg,citation,0.4833711629154741
1,28,FedAvg,reasoning,0.41554081809123516
1,28,FedAvg,verdict,0.3524313720600467
1,28,FedAvg,rule alignment,0.43864613033827293
1,28,FedAvg,total,0.42134210523890536
1,29,FedAvg,citation,0.4707508154442018
1,29,FedAvg,reasoning,0.40231104772815635
