seed,train_jurisdiction,test_jurisdiction,method,legal_accuracy
1,CN civil,CN civil,Local-only,0.6360409338752618
1,CN civil,CN civil,Centralized,0.6768997497564687
1,CN civil,CN civil,FedAvg,0.6705413605160706
1,CN civil,CN civil,FedProx,0.6753905013875335
1,CN civil,CN civil,FedLoRA,0.7082856551379468
1,CN civil,CN civil,Conflict-aware,0.7356251503823661
1,CN civil,CN civil,Full framework,0.7584589103811926
1,CN civil,US common,Local-only,0.5556536529297674
1,CN civil,US common,Centralized,0.6045935942487879
1,CN civil,US common,FedAvg,0.5903923562041705
1,CN civil,US common,FedProx,0.6201424161637613
1,CN civil,US common,FedLoRA,0.6316531409661786
1,CN civil,US common,Conflict-aware,0.6723863218380881
1,CN civil,US common,Full framework,0.6954241762466272
1,CN civil,EU rights,Local-only,0.5593925328231009
1,CN civil,EU rights,Centralized,0.6049036840950222
1,CN civil,EU rights,FedAvg,0.5968510424838194
1,CN civil,EU rights,FedProx,0.618053120311606
1,CN civil,EU rights,FedLoRA,0.6297398245780317
1,CN civil,EU rights,Conflict-aware,0.6672899037044362
1,CN civil,EU rights,Full framework,0.6923420051090359
1,CN civil,Contracts,Local-only,0.5584307306786029
1,CN civil,Contracts,Centralized,0.6215299174496285
1,CN civil,Contracts,FedAvg,0.5950168566937807
1,CN civil,Contracts,FedProx,0.6089045876450896
1,CN civil,Contracts,FedLoRA,0.6455254921508559
1,CN civil,Contracts,Conflict-aware,0.667897652933691
1,CN civil,Contracts,Full framework,0.6886838936139562
1,US common,CN civil,Local-only,0.5657101017058968
1,US common,CN civil,Centralized,0.5890055577916606
1,US common,CN civil,FedAvg,0.5956006216001913
1,US common,CN civil,FedProx,0.62157894960877
1,US common,CN civil,FedLoRA,0.6321201744529388
1,US common,CN civil,Conflict-aware,0.680311484577034
1,US common,CN civil,Full framework,0.6939297527790125
1,US common,US common,Local-only,0.6309513660760436
1,US common,US common,Centralized,0.666857146006787
1,US common,US common,FedAvg,0.6763313729319061
1,US common,US common,FedProx,0.6853920979054142
1,US common,US common,FedLoRA,0.7116447002299073
1,US common,US common,Conflict-aware,0.7438930934590969
1,US common,US common,Full framework,0.7373329358804147
1,US common,EU rights,Local-only,0.5567776657391684
1,US common,EU rights,Centralized,0.6105303266596732
1,US common,EU rights,FedAvg,0.5926425019964017
1,US common,EU rights,FedProx,0.63212770241991
1,US common,EU rights,FedLoRA,0.6480733337570368
1,US common,EU rights,Conflict-aware,0.6591421545521045
1,US common,EU rights,Full framework,0.6956334860296293
1,US common,Contracts,Local-only,0.560784290856308
1,US common,Contracts,Centralized,0.6094202928211339
1,US common,Contracts,FedAvg,0.6009962423873085
1,US common,Contracts,FedProx,0.6119502301867383
1,US common,Contracts,FedLoRA,0.6550986257515796
1,US common,Contracts,Conflict-aware,0.6792960199649436
1,US common,Contracts,Full framework,0.7129897990250086
1,EU rights,CN civil,Local-only,0.5507651876591588
1,EU rights,CN civil,Centralized,0.6153276124304221
1,EU rights,CN civil,FedAvg,0.5935524581981453
1,EU rights,CN civil,FedProx,0.59464875152885
1,EU rights,CN civil,FedLoRA,0.63814379391687
1,EU rights,CN civil,Conflict-aware,0.674685164786732
1,EU rights,CN civil,Full framework,0.6909460504200805
1,EU rights,US common,Local-only,0.5612175435400486
1,EU rights,US common,Centralized,0.6088462168611621
1,EU rights,US common,FedAvg,0.6133134821430721
1,EU rights,US common,FedProx,0.6114188345061632
1,EU rights,US common,FedLoRA,0.6414652836293742
1,EU rights,US common,Conflict-aware,0.6608504959590342
1,EU rights,US common,Full framework,0.702766811713237
1,EU rights,EU rights,Local-only,0.6311958518035046
1,EU rights,EU rights,Centralized,0.6832725258929813
1,EU rights,EU rights,FedAvg,0.6744099032040509
1,EU rights,EU rights,FedProx,0.6634626206129087
1,EU rights,EU rights,FedLoRA,0.7235498173050352
1,EU rights,EU rights,Conflict-aware,0.7365340461325303
1,EU rights,EU rights,Full framework,0.76219761001013
1,EU rights,Contracts,Local-only,0.5559520033130435
1,EU rights,Contracts,Centralized,0.6140018043212055
1,EU rights,Contracts,FedAvg,0.5934316616741148
1,EU rights,Contracts,FedProx,0.605112834748449
1,EU rights,Contracts,FedLoRA,0.6199175517996893
1,EU rights,Contracts,Conflict-aware,0.6555522441706252
1,EU rights,Contracts,Full framework,0.6843039798601703
1,Contracts,CN civil,Local-only,0.5613768666973983
1,Contracts,CN civil,Centralized,0.5973898089227712
1,Contracts,CN civil,FedAvg,0.6000760859696007
1,Contracts,CN civil,FedProx,0.6220362549936175
1,Contracts,CN civil,FedLoRA,0.6356656586858669
1,Contracts,CN civil,Conflict-aware,0.6700893646599291
1,Contracts,CN civil,Full framework,0.6811147238869266
1,Contracts,US common,Local-only,0.5556154819013148
1,Contracts,US common,Centralized,0.608326584259726
1,Contracts,US common,FedAvg,0.6022869552935114
1,Contracts,US common,FedProx,0.6088935117045324
1,Contracts,US common,FedLoRA,0.646283501669614
1,Contracts,US common,Conflict-aware,0.6606732781963126
1,Contracts,US common,Full framework,0.6759368731281723
1,Contracts,EU rights,Local-only,0.5548442929387132
1,Contracts,EU rights,Centralized,0.6067163053973978
1,Contracts,EU rights,FedAvg,0.5917652590294352
1,Contracts,EU rights,FedProx,0.6163665659767429
1,Contracts,EU rights,FedLoRA,0.6402479588827055
1,Contracts,EU rights,Conflict-aware,0.6622095959653614
1,Contracts,EU rights,Full framework,0.6824131600878749
1,Contracts,Contracts,Local-only,0.6415456325357872
