seed,num_clients,dirichlet_alpha,method,legal_accuracy,total_communication_gb
1,4,0.1,FedAvg,0.6160287662187011,8.7890625
1,4,0.1,FedProx,0.6159978784648933,8.8671875
1,4,0.1,FedLoRA,0.6371765531351391,1.5625
1,4,0.1,Conflict-aware,0.6649492253337165,1.7187500000000002
1,4,0.1,Full framework,0.6679119189868361,1.875
1,4,0.3,FedAvg,0.6296453905815373,8.7890625
1,4,0.3,FedProx,0.641430947596333,8.8671875
1,4,0.3,FedLoRA,0.6650746388843997,1.5625
1,4,0.3,Conflict-aware,0.6867166900402725,1.7187500000000002
1,4,0.3,Full framework,0.6947057851096233,1.875
1,4,1.0,FedAvg,0.6511206048713807,8.7890625
1,4,1.0,FedProx,0.6552846637035364,8.8671875
1,4,1.0,FedLoRA,0.6823441793919652,1.5625
1,4,1.0,Conflict-aware,0.7041551726339486,1.7187500000000002
1,4,1.0,Full framework,0.7099035550058622,1.875
1,8,0.1,FedAvg,0.6002633775321687,17.578125
1,8,0.1,FedProx,0.6168799102346801,17.734375
1,8,0.1,FedLoRA,0.6309300751482114,3.125
1,8,0.1,Conflict-aware,0.6556122353585908,3.4375000000000004
1,8,0.1,Full framework,0.6656681245168421,3.75
1,8,0.3,FedAvg,0.6246986886610874,17.578125
1,8,0.3,FedProx,0.6436440753710585,17.734375
1,8,0.3,FedLoRA,0.6563409203323359,3.125
1,8,0.3,Conflict-aware,0.6739093122372382,3.4375000000000004
1,8,0.3,Full framework,0.688188692791633,3.75
1,8,1.0,FedAvg,0.6450536705017104,17.578125
1,8,1.0,FedProx,0.6642345422239657,17.734375
1,8,1.0,FedLoRA,0.6793891463087804,3.125
1,8,1.0,Conflict-aware,0.6969506574390719,3.4375000000000004
1,8,1.0,Full framework,0.7185590313462072,3.75
1,16,0.1,FedAvg,0.5986135405688787,35.15625
1,16,0.1,FedProx,0.6021208980737592,35.46875
1,16,0.1,FedLoRA,0.6295551357613786,6.25
1,16,0.1,Conflict-aware,0.6428077460336897,6.875000000000001
1,16,0.1,Full framework,0.6652901112942337,7.5
1,16,0.3,FedAvg,0.6269335864892375,35.15625
1,16,0.3,FedProx,0.6294446261236436,35.46875
1,16,0.3,FedLoRA,0.6436624097588778,6.25
1,16,0.3,Conflict-aware,0.6669010848259316,6.875000000000001
1,16,0.3,Full framework,0.686539428982428,7.5
1,16,1.0,FedAvg,0.6353545632246039,35.15625
1,16,1.0,FedProx,0.6593503443715805,35.46875
1,16,1.0,FedLoRA,0.674569003026664,6.25
1,16,1.0,Conflict-aware,0.6959725331679808,6.875000000000001
1,16,1.0,Full framework,0.7067928825808462,7.5
1,32,0.1,FedAvg,0.5931622000806699,70.3125
1,32,0.1,FedProx,0.5962266529360849,70.9375
1,32,0.1,FedLoRA,0.6121456671276407,12.5
1,32,0.1,Conflict-aware,0.6420618531816954,13.750000000000002
1,32,0.1,Full framework,0.6471528382899077,15.0
1,32,0.3,FedAvg,0.6128785547444625,70.3125
1,32,0.3,FedProx,0.6207942082111864,70.9375
1,32,0.3,FedLoRA,0.6496429287469597,12.5
1,32,0.3,Conflict-aware,0.6625429180956323,13.750000000000002
1,32,0.3,Full framework,0.6757146626229278,15.0
1,32,1.0,FedAvg,0.6381045266479907,70.3125
1,32,1.0,FedProx,0.6526517483532234,70.9375
1,32,1.0,FedLoRA,0.6723480276104882,12.5
1,32,1.0,Conflict-aware,0.6898247321441602,13.750000000000002
1,32,1.0,Full framework,0.6981457842428479,15.0
2,4,0.1,FedAvg,0.5947224895493999,8.7890625
2,4,0.1,FedProx,0.6206011965058204,8.8671875
2,4,0.1,FedLoRA,0.6329874849465208,1.5625
2,4,0.1,Conflict-aware,0.6649975806488432,1.7187500000000002
2,4,0.1,Full framework,0.6631415213130996,1.875
2,4,0.3,FedAvg,0.6379096764824901,8.7890625
2,4,0.3,FedProx,0.6431132587398993,8.8671875
2,4,0.3,FedLoRA,0.6558614728838229,1.5625
2,4,0.3,Conflict-aware,0.6883963156633959,1.7187500000000002
2,4,0.3,Full framework,0.7010208797226808,1.875
2,4,1.0,FedAvg,0.6512046970468209,8.7890625
2,4,1.0,FedProx,0.660411572941025,8.8671875
2,4,1.0,FedLoRA,0.6798332514734756,1.5625
2,4,1.0,Conflict-aware,0.7094953840754014,1.7187500000000002
2,4,1.0,Full framework,0.7069618759997256,1.875
2,8,0.1,FedAvg,0.6066214661340473,17.578125
2,8,0.1,FedProx,0.6066349378509026,17.734375
2,8,0.1,FedLoRA,0.6246749695168615,3.125
2,8,0.1,Conflict-aware,0.6500445072360896,3.4375000000000004
2,8,0.1,Full framework,0.6612471913406277,3.75
2,8,0.3,FedAvg,0.6264793647612649,17.578125
2,8,0.3,FedProx,0.6391693525464227,17.734375
2,8,0.3,FedLoRA,0.6551101646227886,3.125
2,8,0.3,Conflict-aware,0.6785039358460951,3.4375000000000004
2,8,0.3,Full framework,0.6916985845398513,3.75
2,8,1.0,FedAvg,0.6462406301806854,17.578125
2,8,1.0,FedProx,0.6592092465623565,17.734375
2,8,1.0,FedLoRA,0.6737279462125566,3.125
2,8,1.0,Conflict-aware,0.6885605401842821,3.4375000000000004
2,8,1.0,Full framework,0.7060288251011,3.75
2,16,0.1,FedAvg,0.5896139222221356,35.15625
2,16,0.1,FedProx,0.6003007268420876,35.46875
2,16,0.1,FedLoRA,0.6294506100338647,6.25
2,16,0.1,Conflict-aware,0.6471069324257948,6.875000000000001
2,16,0.1,Full framework,0.6644012438457769,7.5
2,16,0.3,FedAvg,0.6238721796028855,35.15625
2,16,0.3,FedProx,0.6266789460271395,35.46875
2,16,0.3,FedLoRA,0.6603473823233335,6.25
2,16,0.3,Conflict-aware,0.6734740206016475,6.875000000000001
2,16,0.3,Full framework,0.683773425458067,7.5
2,16,1.0,FedAvg,0.6406313852493453,35.15625
2,16,1.0,FedProx,0.6660540470599455,35.46875
2,16,1.0,FedLoRA,0.6740282967001178,6.25
2,16,1.0,Conflict-aware,0.6955285887734266,6.875000000000001
2,16,1.0,Full framework,0.6907265160483016,7.5
2,32,0.1,FedAvg,0.5993304131012791,70.3125
2,32,0.1,FedProx,0.6015263331285792,70.9375
2,32,0.1,FedLoRA,0.6199358581116248,12.5
2,32,0.1,Conflict-aware,0.6510467383078594,13.750000000000002
2,32,0.1,Full framework,0.6584930396413019,15.0
2,32,0.3,FedAvg,0.6187029214078497,70.3125
2,32,0.3,FedProx,0.62948248316634,70.9375
2,32,0.3,FedLoRA,0.6361664795237394,12.5
2,32,0.3,Conflict-aware,0.6704791424840363,13.750000000000002
2,32,0.3,Full framework,0.6719437221457708,15.0
2,32,1.0,FedAvg,0.636244659133258,70.3125
2,32,1.0,FedProx,0.6470636433861156,70.9375
2,32,1.0,FedLoRA,0.6650443197477872,12.5
2,32,1.0,Conflict-aware,0.6941766044230644,13.750000000000002
2,32,1.0,Full framework,0.6951005699918269,15.0
3,4,0.1,FedAvg,0.606527435291993,8.7890625
3,4,0.1,FedProx,0.6200692046640256,8.8671875
3,4,0.1,FedLoRA,0.6299592116335089,1.5625
3,4,0.1,Conflict-aware,0.6587381518762525,1.7187500000000002
3,4,0.1,Full framework,0.6672270927388321,1.875
3,4,0.3,FedAvg,0.6292141300607741,8.7890625
3,4,0.3,FedProx,0.6486003465790593,8.8671875
3,4,0.3,FedLoRA,0.662413848241835,1.5625
3,4,0.3,Conflict-aware,0.6825294173680898,1.7187500000000002
3,4,0.3,Full framework,0.6909736303226767,1.875
3,4,1.0,FedAvg,0.6525262303529932,8.7890625
3,4,1.0,FedProx,0.662765274801449,8.8671875
3,4,1.0,FedLoRA,0.6744676000931354,1.5625
3,4,1.0,Conflict-aware,0.6982376803764082,1.7187500000000002
